Category: All categories,
,
Week,Lana Del Rey: (United States)
2020-03-08,10
2020-03-15,11
2020-03-22,10
2020-03-29,10
2020-04-05,11
2020-04-12,11
2020-04-19,14
2020-04-26,12
2020-05-03,15
2020-05-10,14
2020-05-17,51
2020-05-24,28
2020-05-31,15
2020-06-07,10
2020-06-14,10
2020-06-21,11
2020-06-28,10
2020-07-05,10
2020-07-12,11
2020-07-19,10
2020-07-26,15
2020-08-02,10
2020-08-09,9
2020-08-16,10
2020-08-23,9
2020-08-30,10
2020-09-06,12
2020-09-13,10
2020-09-20,10
2020-09-27,11
2020-10-04,17
2020-10-11,12
2020-10-18,11
2020-10-25,8
2020-11-01,8
2020-11-08,8
2020-11-15,9
2020-11-22,9
2020-11-29,9
2020-12-06,8
2020-12-13,13
2020-12-20,13
2020-12-27,16
2021-01-03,12
2021-01-10,29
2021-01-17,13
2021-01-24,13
2021-01-31,12
2021-02-07,13
2021-02-14,37
2021-02-21,22
2021-02-28,14
2021-03-07,12
2021-03-14,22
2021-03-21,22
2021-03-28,14
2021-04-04,12
2021-04-11,11
2021-04-18,10
2021-04-25,12
2021-05-02,9
2021-05-09,10
2021-05-16,11
2021-05-23,12
2021-05-30,11
2021-06-06,10
2021-06-13,9
2021-06-20,13
2021-06-27,10
2021-07-04,11
2021-07-11,9
2021-07-18,11
2021-07-25,11
2021-08-01,10
2021-08-08,10
2021-08-15,10
2021-08-22,10
2021-08-29,8
2021-09-05,14
2021-09-12,12
2021-09-19,9
2021-09-26,9
2021-10-03,10
2021-10-10,9
2021-10-17,18
2021-10-24,22
2021-10-31,12
2021-11-07,12
2021-11-14,10
2021-11-21,10
2021-11-28,11
2021-12-05,15
2021-12-12,11
2021-12-19,13
2021-12-26,12
2022-01-02,13
2022-01-09,12
2022-01-16,16
2022-01-23,14
2022-01-30,11
2022-02-06,10
2022-02-13,10
2022-02-20,10
2022-02-27,10
2022-03-06,9
2022-03-13,10
2022-03-20,10
2022-03-27,9
2022-04-03,13
2022-04-10,11
2022-04-17,11
2022-04-24,11
2022-05-01,12
2022-05-08,11
2022-05-15,11
2022-05-22,11
2022-05-29,10
2022-06-05,11
2022-06-12,12
2022-06-19,15
2022-06-26,12
2022-07-03,17
2022-07-10,17
2022-07-17,15
2022-07-24,17
2022-07-31,14
2022-08-07,13
2022-08-14,15
2022-08-21,12
2022-08-28,12
2022-09-04,25
2022-09-11,15
2022-09-18,14
2022-09-25,11
2022-10-02,13
2022-10-09,15
2022-10-16,18
2022-10-23,16
2022-10-30,12
2022-11-06,12
2022-11-13,13
2022-11-20,13
2022-11-27,14
2022-12-04,25
2022-12-11,17
2022-12-18,22
2022-12-25,21
2023-01-01,18
2023-01-08,22
2023-01-15,26
2023-01-22,18
2023-01-29,18
2023-02-05,20
2023-02-12,35
2023-02-19,26
2023-02-26,24
2023-03-05,21
2023-03-12,26
2023-03-19,47
2023-03-26,46
2023-04-02,29
2023-04-09,27
2023-04-16,27
2023-04-23,26
2023-04-30,26
2023-05-07,23
2023-05-14,26
2023-05-21,29
2023-05-28,32
2023-06-04,24
2023-06-11,26
2023-06-18,27
2023-06-25,28
2023-07-02,26
2023-07-09,26
2023-07-16,62
2023-07-23,56
2023-07-30,30
2023-08-06,37
2023-08-13,34
2023-08-20,83
2023-08-27,35
2023-09-03,31
2023-09-10,33
2023-09-17,41
2023-09-24,37
2023-10-01,32
2023-10-08,27
2023-10-15,22
2023-10-22,19
2023-10-29,18
2023-11-05,21
2023-11-12,21
2023-11-19,22
2023-11-26,27
2023-12-03,23
2023-12-10,22
2023-12-17,23
2023-12-24,23
2023-12-31,21
2024-01-07,20
2024-01-14,27
2024-01-21,28
2024-01-28,25
2024-02-04,100
2024-02-11,54
2024-02-18,24
2024-02-25,20
2024-03-03,20
2024-03-10,19
2024-03-17,17
2024-03-24,22
2024-03-31,21
2024-04-07,38
2024-04-14,58
2024-04-21,36
2024-04-28,24
2024-05-05,51
2024-05-12,26
2024-05-19,29
2024-05-26,25
2024-06-02,23
2024-06-09,21
2024-06-16,45
2024-06-23,32
2024-06-30,47
2024-07-07,33
2024-07-14,25
2024-07-21,21
2024-07-28,19
2024-08-04,19
2024-08-11,20
2024-08-18,19
2024-08-25,47
2024-09-01,28
2024-09-08,23
2024-09-15,18
2024-09-22,57
2024-09-29,49
2024-10-06,24
2024-10-13,20
2024-10-20,21
2024-10-27,21
2024-11-03,17
2024-11-10,19
2024-11-17,15
2024-11-24,21
2024-12-01,16
2024-12-08,21
2024-12-15,22
2024-12-22,18
2024-12-29,16
2025-01-05,16
2025-01-12,15
2025-01-19,15
2025-01-26,17
2025-02-02,18
2025-02-09,17
2025-02-16,14
2025-02-23,15
2025-03-02,14
2025-03-09,15